conf_block_hash,fee_rate_median,fee_rate_mean,mempool_size_median,mempool_size_mean,mempool_tx_count_median,n_txs
000000000000000000002edee16c58dae827e6f50744e33c91b058cdbad77a42,1.0,1.3018867924528301,19080765.368055556,18764781.971468814,76875.57638888889,212
000000000000000000002f31c4c91ab8d8469da80dc73cf77210e96ec4c897c2,2.0,3.1144278606965172,831202.1041666666,831202.1041666666,2621.6180555555557,201
000000000000000000002f7024109796514d0ffde2f110316294b197bc6d407c,1.0,2.0134228187919465,18324793.652777776,18323671.36111111,46663.95138888889,149
000000000000000000002fac381933e2577c0f13e5d42c7af768bb3fda44e1f2,5.0,6.929278642149929,23378443.291666668,23379919.735227097,78090.04861111111,707
000000000000000000002fe959c2c37462ddb89bea45e9901b11d3859091244a,1.0,1.95625,509633.84722222225,509633.8472222222,1614.9583333333333,160
000000000000000000003018371631cffad751f078755704fe4c485ff1c66b32,3.0,4.212189616252822,15274317.097222222,15274317.097222222,71228.64583333333,886
00000000000000000000303a1c07cf0f876e873461b075f8d75a7430be5b9d01,2.0,4.429460580912863,14425990.652777778,14564353.623386353,58754.92361111111,482
00000000000000000000306b96e3b31d22cfa53534f0832b3813ac0a701b0454,2.0,3.447735191637631,1195226.1319444445,1195226.1319444445,2856.0763888888887,574
0000000000000000000030b57cc1f97d9c3819dd3c51a935e29a0797990d106a,1.0,3.387959866220736,468694.3958333333,468694.3958333333,1391.4444444444443,299
00000000000000000000311ab022a96e7ba0be0dafb832ae54979763054362e8,1.0,1.1327433628318584,21002502.215277776,21002502.215277776,56561.583333333336,113
00000000000000000000311f944aebefaa15ae2f1bfe485e00b69a95ed333ebb,2.0,2.8,618777.2291666666,618777.2291666666,1796.0833333333333,670
00000000000000000000315dbc25a651f6659000d12830cddf074e8554b39565,1.0,2.1359404096834265,797966.6111111111,791254.9356507346,2204.5694444444443,537
0000000000000000000031a1898452366bc47e15a445a80ce569463603b6fe22,1.0,3.496420047732697,426498.5208333333,426498.5208333333,1519.125,419
0000000000000000000031f09dbe7ade9394fcbd4a18fed675a122c3aeb64af3,1.5,2.518181818181818,23547610.680555556,23547610.680555556,59944.395833333336,330
000000000000000000003220c8d87dca599aa9e7376da361d2e7450effe4a95d,1.0,1.6460176991150441,21085494.069444444,21004725.43670108,91538.85416666667,113
